rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
13,Kansas,B12,19-6,120.58375944928653,40,93.63410282764485,10,0.9482858423105848,13,22.945224155619364,8.054775844380636,12.945224155619364,5.054775844380634,9-3,0.7642885761972292,0.6942963457984797,0.8401134924625412,0.7778503138021463,0.6942963457984797,0.8381948462492387,0.5932908331635722,0.6632663769060453,117.10505721856451,102.03613994544466,117.24553249300456,101.37675327981246,122.54314256408402,96.57827305428935,121.88192562529777,96.57765578446138,0.9356022336031334,12.0,0.037713648322376114,942.0,877.0,828.9250000000001,1.136411617456344,1.0579968030883373,0.8343575538226334,0.75,5.563107974173117,11,94,67.10551645750502
14,Louisville,ACC,19-6,125.45811240939707,11,97.58085439778765,25,0.9473420107587919,14,23.00310214938037,7.996897850619623,12.003102149380375,5.996897850619623,8-4,0.6829852202991569,0.5715092886245027,0.8037508129466991,0.707532422612208,0.571509288624503,0.8057713527144397,0.6508936865650622,0.7366635888472193,113.7161328365026,103.69192896197548,114.59487538542963,103.23818125751438,125.54962202919036,98.53022064481335,123.609953654235,99.40337361891751,0.9245870176541652,14.0,-0.018041880868216342,991.0,884.0,841.625,1.1774840338630626,1.0503490271795632,0.8098124322499208,0.6666666666666666,3.663208097988414,22,225,70.23246077787942
15,Gonzaga,WCC,25-2,121.35060414150189,34,94.83826724165183,14,0.9445315961027295,15,28.275019426266482,2.7249805737335175,16.275019426266482,1.724980573733518,13-1,0.6122432806702008,0.6270784369757337,0.5984677783864916,0.6179467462874342,0.6270784369757337,0.6113516363458845,0.7607966384094288,0.7222410015017839,112.7153545616172,106.60874410833303,112.68473755034701,106.34610285010557,119.57976135036445,95.97337207216083,123.03830689807123,94.11735417854473,0.956121597351567,8.0,0.08548075103721564,1166.0,938.0,987.5500000000001,1.1806997114070172,0.9498253252999848,0.65644513920376,0.9285714285714286,5.944393536782634,9,30,69.7223642459338
16,Tennessee,SEC,18-7,121.79794847479985,31,95.7451021716721,17,0.9409080896985947,16,21.89631836819534,9.103681631804657,11.89631836819534,6.103681631804658,8-4,0.6779279641802596,0.5141479561750522,0.8553563061859011,0.7136656527630508,0.5141479561750522,0.8577617669654948,0.6189317149268486,0.7292790891247587,116.49777066869261,105.88357887293003,117.56998325827796,105.13294409231088,121.8750204034627,97.31474920151557,122.01732989980619,96.32744270437696,0.938121871656784,14.0,-0.0008647912952934877,935.0,904.0,828.2125,1.1289373198303576,1.0915073124349126,0.8625726885246818,0.6666666666666666,3.500409208582872,24,178,65.73410228135423
17,Michigan St.,B10,20-5,119.35549981882869,47,94.29272866230187,13,0.9376478959135484,17,23.321850637505566,7.678149362494433,13.321850637505568,6.678149362494433,10-4,0.7092784019365521,0.5690066526919668,0.8194919192001547,0.7352164585035207,0.5690066526919668,0.8266318516998753,0.6253900566564644,0.774434853265716,116.89565161883989,104.7716769597825,117.97425360139768,103.86737100348104,120.16609490813072,94.02407367758836,119.93507603010978,92.79116468131457,0.9503055386063093,12.0,0.05942527626455463,1067.0,934.0,931.0125,1.146064096883769,1.003208872061331,0.8432916941992232,0.7142857142857143,5.144221396778298,13,54,65.67635345459273
18,Virginia,ACC,22-3,120.70073118431256,39,95.53054577467935,16,0.9364032354404017,18,26.387828636158844,4.612171363841155,14.387828636158847,3.6121713638411537,10-2,0.616916474589488,0.45598670670185165,0.7912570564677607,0.6502451269211932,0.45598670670185165,0.7905428748573847,0.7241594672822892,0.8441658480137596,112.68138804429242,107.00319345336985,113.51403416534404,105.98183105480733,118.73708983958272,92.97690246598785,120.00838743588989,90.69146669336196,0.9616217838210528,8.0,0.07474066611232333,919.0,821.0,822.8125,1.1169008735282948,0.9977971895176605,0.7891145116366327,0.8333333333333334,4.998357734512779,16,38,65.20821772920996
19,Alabama,SEC,18-7,128.745846261638,3,102.07187515933605,59,0.9352254663839422,19,21.918060113015844,9.081939886984152,11.918060113015844,6.081939886984153,8-4,0.7673149919497226,0.6954595277500855,0.8451584114993294,0.7839000343544696,0.6954595277500855,0.8477737335687469,0.591091856605468,0.6359465938015891,118.41305729963109,103.06418321601821,118.89677861167971,102.89772751125697,125.92108682566459,102.11940838363061,129.10678435866777,104.12744375266622,0.9222113717979918,14.0,0.04334149776190599,1065.0,1006.0,898.7,1.1850450650940247,1.1193946812061866,0.8530043777075823,0.6666666666666666,4.749499283741704,17,84,73.61587859523891
20,Arkansas,SEC,19-6,127.08966708627136,5,101.19599779399314,50,0.9321432216675652,20,22.499583981300336,8.500416018699667,12.499583981300333,5.500416018699667,9-3,0.6961357757407763,0.5733081337800748,0.8291990545315363,0.7314550882810711,0.5733081337800747,0.8456723331984572,0.6246383888552667,0.6990451978520436,116.27986197379471,104.71993802628245,117.59551761368652,104.06802866340861,127.37325218737435,101.13913609569391,126.28747354829035,99.75117886432736,0.937768549329471,13.0,0.04197214732402932,1042.0,939.0,857.9749999999999,1.214487601620094,1.0944374836096624,0.8786188905322988,0.75,4.262712174556791,18,88,70.85637211317467
21,St. John's,BE,20-5,120.97679900634785,36,96.47849445894492,19,0.9310033251473349,21,24.13876054521621,6.861239454783789,17.13876054521621,2.8612394547837887,13-1,0.7004116293117977,0.6170814053563294,0.7658853767053804,0.7209028817060918,0.6170814053563294,0.7780046936984614,0.6923407658194206,0.739198514981306,114.67810426003274,104.54208168722249,114.94264536412359,103.77048112392045,122.07203177777366,96.63284232059922,126.97869024044907,100.15606955871733,0.9387065862543881,9.0,0.027406279696913227,1157.0,1008.0,994.0375,1.1639399922035134,1.0140462507702175,0.8062831000156506,0.9285714285714286,3.9976452539035887,20,119,69.96559007471045
22,Saint Louis,A10,24-1,122.6464575262453,29,98.37269266412983,29,0.9266436704688938,22,29.189830851063522,1.8101691489364793,17.189830851063522,0.8101691489364795,12-0,0.4685483211898928,0.3893948046705402,0.554297964085858,0.4926158700270336,0.38939480467054033,0.5671644172289453,0.8598928497433088,0.8926279138901062,107.88902857892822,108.41623368108817,108.30201646238298,108.03454829676429,124.16178008911392,97.9089913169095,101.315705352755,80.72624450670571,0.9316645142215509,2.0,0.06146455959588659,1041.0,817.0,848.875,1.2263289648063613,0.9624503018701223,0.59289732351512,1.0,3.367489017472895,26,53,71.57598590212838
